doy,P_mm,PET_mm
1,0.0,0.222
2,0.0,0.217
3,0.0,0.212
4,0.0,0.208
5,0.0,0.205
6,0.0,0.203
7,0.0,0.201
8,0.0,0.2
9,0.0,0.2
10,0.0,0.201
11,0.0,0.202
12,0.0,0.204
13,0.0,0.207
14,0.0,0.21
15,0.0,0.214
16,0.0,0.219
17,0.0,0.225
18,0.0,0.232
19,0.0,0.239
20,0.0,0.247
21,0.0,0.255
22,0.0,0.265
23,0.0,0.275
24,0.0,0.286
25,0.0,0.297
26,0.0,0.309
27,0.0,0.322
28,0.0,0.336
29,0.0,0.35
30,0.0,0.365
31,0.0,0.381
32,0.0,0.398
33,0.0,0.415
34,0.0,0.432
35,0.0,0.451
36,0.0,0.47
37,0.0,0.49
38,0.0,0.51
39,0.0,0.531
40,0.0,0.553
41,0.0,0.575
42,0.0,0.598
43,0.0,0.622
44,0.0,0.646
45,0.0,0.671
46,0.0,0.697
47,0.0,0.723
48,0.0,0.749
49,0.0,0.776
50,0.0,0.804
51,0.0,0.833
52,0.0,0.861
53,0.0,0.891
54,0.0,0.921
55,0.0,0.951
56,0.0,0.982
57,0.0,1.014
58,0.0,1.046
59,0.0,1.078
60,0.0,1.111
61,0.0,1.145
62,0.0,1.179
63,0.0,1.213
64,0.0,1.248
65,0.0,1.283
66,0.0,1.319
67,0.0,1.355
68,0.0,1.391
69,0.0,1.428
70,0.0,1.466
71,0.0,1.503
72,0.0,1.541
73,0.0,1.579
74,0.0,1.618
75,0.0,1.657
76,0.0,1.696
77,0.0,1.736
78,0.0,1.776
79,0.0,1.816
80,0.0,1.856
81,0.0,1.897
82,0.0,1.938
83,0.0,1.979
84,0.0,2.02
85,0.0,2.062
86,0.0,2.103
87,0.0,2.145
88,0.0,2.187
89,0.0,2.229
90,0.0,2.272
91,0.0,2.314
92,0.0,2.357
93,0.0,2.399
94,0.0,2.442
95,0.0,2.485
96,0.0,2.528
97,6.58,2.571
98,0.0,2.614
99,0.0,2.657
100,0.0,2.7
101,0.0,2.743
102,0.0,2.786
103,0.0,2.829
104,0.0,2.872
105,0.0,2.915
106,0.0,2.958
107,0.0,3.001
108,0.0,3.043
109,0.0,3.086
110,0.0,3.128
111,0.0,3.171
112,0.0,3.213
113,0.0,3.255
114,7.05,3.297
115,0.0,3.338
116,0.0,3.38
117,0.0,3.421
118,0.0,3.462
119,0.0,3.503
120,0.0,3.544
121,0.0,3.584
122,0.0,3.624
123,0.0,3.664
124,0.0,3.704
125,0.0,3.743
126,0.0,3.782
127,0.0,3.821
128,0.0,3.859
129,0.0,3.897
130,0.0,3.934
131,9.18,3.972
132,0.0,4.009
133,0.0,4.045
134,0.0,4.081
135,0.0,4.117
136,2.57,4.152
137,0.0,4.187
138,5.43,4.221
139,11.27,4.255
140,0.0,4.289
141,0.0,4.322
142,12.39,4.354
143,9.67,4.386
144,12.29,4.418
145,4.77,4.449
146,0.0,4.479
147,0.0,4.509
148,0.0,4.539
149,0.0,4.567
150,0.0,4.596
151,10.24,4.624
152,6.69,4.651
153,0.0,4.677
154,5.56,4.703
155,17.02,4.729
156,1.76,4.754
157,0.0,4.778
158,12.26,4.802
159,14.95,4.825
160,0.0,4.847
161,9.25,4.869
162,6.44,4.89
163,0.0,4.91
164,7.24,4.93
165,1.71,4.949
166,0.0,4.968
167,4.34,4.985
168,4.78,5.002
169,0.0,5.019
170,0.0,5.035
171,0.0,5.05
172,0.0,5.064
173,0.0,5.078
174,3.68,5.091
175,0.0,5.103
176,10.96,5.114
177,2.35,5.125
178,5.25,5.135
179,0.0,5.145
180,5.35,5.153
181,6.8,5.161
182,0.0,5.168
183,17.12,5.175
184,8.35,5.181
185,16.22,5.186
186,16.95,5.19
187,20.87,5.193
188,12.23,5.196
189,7.36,5.198
190,2.18,5.199
191,3.07,5.2
192,12.19,5.2
193,0.0,5.199
194,9.51,5.197
195,13.81,5.195
196,0.0,5.192
197,7.13,5.188
198,9.89,5.183
199,0.0,5.178
200,20.29,5.172
201,0.0,5.165
202,17.73,5.157
203,1.41,5.149
204,11.81,5.14
205,14.34,5.13
206,9.98,5.12
207,0.0,5.109
208,1.68,5.097
209,6.91,5.084
210,0.0,5.071
211,18.4,5.057
212,13.42,5.042
213,23.14,5.027
214,10.99,5.011
215,0.0,4.994
216,1.34,4.977
217,0.0,4.958
218,10.93,4.94
219,13.94,4.92
220,0.0,4.9
221,5.68,4.879
222,0.0,4.858
223,0.0,4.836
224,18.62,4.813
225,4.1,4.79
226,0.0,4.766
227,0.0,4.741
228,0.0,4.716
229,5.47,4.69
230,11.8,4.664
231,0.0,4.637
232,0.0,4.61
233,9.25,4.582
234,3.38,4.553
235,6.8,4.524
236,15.23,4.494
237,0.0,4.464
238,6.77,4.433
239,0.0,4.402
240,7.66,4.37
241,0.0,4.338
242,5.86,4.305
243,0.0,4.272
244,4.51,4.238
245,0.0,4.204
246,0.0,4.169
247,0.0,4.134
248,0.0,4.099
249,0.0,4.063
250,0.0,4.027
251,0.0,3.99
252,0.0,3.953
253,5.39,3.916
