doy,P_mm,PET_mm
1,0.0,0.82
2,0.0,0.815
3,0.0,0.811
4,0.0,0.807
5,0.0,0.805
6,0.0,0.802
7,0.0,0.801
8,0.0,0.8
9,0.0,0.8
10,0.0,0.801
11,0.0,0.802
12,0.0,0.803
13,0.0,0.806
14,0.0,0.809
15,0.0,0.813
16,0.0,0.817
17,0.0,0.822
18,0.0,0.828
19,0.0,0.834
20,0.0,0.841
21,0.0,0.849
22,0.0,0.857
23,0.0,0.866
24,0.0,0.875
25,0.0,0.886
26,0.0,0.896
27,0.0,0.908
28,0.0,0.92
29,0.0,0.932
30,0.0,0.946
31,0.0,0.959
32,0.0,0.974
33,0.0,0.989
34,0.0,1.005
35,0.0,1.021
36,0.0,1.038
37,0.0,1.055
38,0.0,1.073
39,0.0,1.092
40,0.0,1.111
41,0.0,1.13
42,0.0,1.151
43,0.0,1.171
44,0.0,1.193
45,0.0,1.215
46,0.0,1.237
47,0.0,1.26
48,0.0,1.283
49,0.0,1.307
50,0.0,1.332
51,0.0,1.357
52,0.0,1.382
53,0.0,1.408
54,0.0,1.434
55,0.0,1.461
56,0.0,1.488
57,0.0,1.516
58,0.0,1.544
59,0.0,1.573
60,0.0,1.602
61,0.0,1.631
62,0.0,1.661
63,0.0,1.692
64,0.0,1.722
65,0.0,1.753
66,0.0,1.785
67,0.0,1.816
68,0.0,1.848
69,0.0,1.881
70,0.0,1.914
71,0.0,1.947
72,0.0,1.98
73,0.0,2.014
74,0.0,2.048
75,0.0,2.082
76,0.0,2.117
77,0.0,2.152
78,0.0,2.187
79,0.0,2.222
80,0.0,2.257
81,0.0,2.293
82,0.0,2.329
83,0.0,2.365
84,0.0,2.402
85,0.0,2.438
86,0.0,2.475
87,0.0,2.512
88,0.0,2.549
89,0.0,2.586
90,0.0,2.623
91,0.0,2.661
92,0.0,2.698
93,0.0,2.736
94,0.0,2.773
95,0.0,2.811
96,0.0,2.849
97,0.0,2.886
98,0.0,2.924
99,0.0,2.962
100,0.0,3.0
101,0.0,3.038
102,0.0,3.076
103,0.0,3.114
104,0.0,3.151
105,14.2,3.189
106,0.0,3.227
107,0.0,3.264
108,0.0,3.302
109,3.97,3.339
110,0.0,3.377
111,0.0,3.414
112,0.0,3.451
113,0.0,3.488
114,0.0,3.525
115,0.0,3.562
116,0.0,3.598
117,0.0,3.635
118,0.0,3.671
119,0.0,3.707
120,0.0,3.743
121,0.0,3.778
122,0.0,3.813
123,0.0,3.848
124,0.0,3.883
125,8.72,3.918
126,3.96,3.952
127,20.21,3.986
128,11.77,4.02
129,0.0,4.053
130,14.18,4.086
131,12.67,4.119
132,0.0,4.152
133,14.34,4.184
134,10.04,4.215
135,0.0,4.247
136,0.0,4.278
137,15.46,4.308
138,13.62,4.339
139,0.0,4.369
140,12.75,4.398
141,0.0,4.427
142,8.72,4.456
143,0.0,4.484
144,8.09,4.512
145,38.17,4.539
146,14.07,4.566
147,4.93,4.592
148,0.0,4.618
149,59.7,4.643
150,8.16,4.668
151,12.93,4.693
152,8.71,4.717
153,47.68,4.74
154,32.83,4.763
155,19.12,4.785
156,18.65,4.807
157,22.16,4.829
158,50.43,4.849
159,22.73,4.87
160,34.25,4.889
161,9.11,4.908
162,34.48,4.927
163,33.33,4.945
164,2.84,4.962
165,17.83,4.979
166,0.0,4.995
167,39.46,5.011
168,0.0,5.026
169,16.73,5.041
170,49.06,5.054
171,11.94,5.068
172,0.0,5.08
173,9.89,5.092
174,28.71,5.104
175,2.88,5.114
176,22.54,5.125
177,12.97,5.134
178,36.39,5.143
179,6.26,5.151
180,0.0,5.159
181,0.0,5.166
182,8.97,5.172
183,0.0,5.178
184,0.0,5.183
185,13.39,5.187
186,15.95,5.191
187,0.0,5.194
188,44.2,5.197
189,6.32,5.198
190,16.15,5.199
191,25.54,5.2
192,0.0,5.2
193,0.0,5.199
194,0.0,5.198
195,0.0,5.195
196,5.3,5.193
197,0.0,5.189
198,0.0,5.185
199,17.37,5.18
200,0.0,5.175
201,9.42,5.169
202,0.0,5.162
203,2.37,5.155
204,0.0,5.147
205,0.0,5.139
206,0.0,5.129
207,0.0,5.12
208,17.12,5.109
209,0.0,5.098
210,0.0,5.086
211,0.0,5.074
212,0.0,5.061
213,0.0,5.048
214,0.0,5.033
215,0.0,5.019
216,0.0,5.003
217,0.0,4.987
218,0.0,4.971
219,0.0,4.954
220,0.0,4.936
221,0.0,4.918
222,0.0,4.899
223,0.0,4.88
224,0.0,4.86
225,16.28,4.839
226,0.0,4.818
227,0.0,4.796
228,0.0,4.774
229,0.0,4.752
230,0.0,4.728
231,0.0,4.705
232,0.0,4.681
233,0.0,4.656
234,0.0,4.631
