doy,P_mm,PET_mm
1,0.0,0.322
2,0.0,0.317
3,0.0,0.312
4,0.0,0.308
5,0.0,0.305
6,0.0,0.303
7,0.0,0.301
8,0.0,0.3
9,0.0,0.3
10,0.0,0.301
11,0.0,0.302
12,0.0,0.304
13,0.0,0.307
14,0.0,0.31
15,0.0,0.314
16,0.0,0.319
17,0.0,0.325
18,0.0,0.332
19,0.0,0.339
20,0.0,0.347
21,0.0,0.355
22,0.0,0.365
23,0.0,0.375
24,0.0,0.386
25,0.0,0.397
26,0.0,0.409
27,0.0,0.422
28,0.0,0.436
29,0.0,0.45
30,0.0,0.465
31,0.0,0.481
32,0.0,0.498
33,0.0,0.515
34,0.0,0.532
35,0.0,0.551
36,0.0,0.57
37,0.0,0.59
38,0.0,0.61
39,0.0,0.631
40,0.0,0.653
41,0.0,0.675
42,0.0,0.698
43,0.0,0.722
44,0.0,0.746
45,0.0,0.771
46,0.0,0.797
47,0.0,0.823
48,0.0,0.849
49,0.0,0.876
50,0.0,0.904
51,0.0,0.933
52,0.0,0.961
53,0.0,0.991
54,0.0,1.021
55,0.0,1.051
56,0.0,1.082
57,0.0,1.114
58,0.0,1.146
59,0.0,1.178
60,0.0,1.211
61,0.0,1.245
62,0.0,1.279
63,0.0,1.313
64,0.0,1.348
65,0.0,1.383
66,0.0,1.419
67,0.0,1.455
68,0.0,1.491
69,0.0,1.528
70,0.0,1.566
71,0.0,1.603
72,0.0,1.641
73,0.0,1.679
74,0.0,1.718
75,0.0,1.757
76,0.0,1.796
77,0.0,1.836
78,0.0,1.876
79,0.0,1.916
80,0.0,1.956
81,0.0,1.997
82,0.0,2.038
83,0.0,2.079
84,0.0,2.12
85,0.0,2.162
86,0.0,2.203
87,0.0,2.245
88,0.0,2.287
89,0.0,2.329
90,0.0,2.372
91,0.0,2.414
92,0.0,2.457
93,0.0,2.499
94,0.0,2.542
95,0.0,2.585
96,0.0,2.628
97,0.0,2.671
98,0.0,2.714
99,0.0,2.757
100,0.0,2.8
101,0.0,2.843
102,0.0,2.886
103,0.0,2.929
104,0.0,2.972
105,0.0,3.015
106,0.0,3.058
107,0.0,3.101
108,0.0,3.143
109,8.55,3.186
110,0.0,3.228
111,0.0,3.271
112,0.0,3.313
113,0.0,3.355
114,0.0,3.397
115,0.0,3.438
116,0.0,3.48
117,0.0,3.521
118,0.0,3.562
119,0.0,3.603
120,0.0,3.644
121,0.0,3.684
122,0.0,3.724
123,0.0,3.764
124,0.0,3.804
125,0.0,3.843
126,0.0,3.882
127,0.0,3.921
128,0.0,3.959
129,0.0,3.997
130,0.0,4.034
131,0.0,4.072
132,9.09,4.109
133,0.0,4.145
134,0.0,4.181
135,0.0,4.217
136,0.0,4.252
137,7.56,4.287
138,13.25,4.321
139,0.0,4.355
140,13.26,4.389
141,3.17,4.422
142,9.14,4.454
143,0.0,4.486
144,0.0,4.518
145,0.0,4.549
146,0.0,4.579
147,0.0,4.609
148,0.0,4.639
149,6.41,4.667
150,0.0,4.696
151,5.27,4.724
152,0.0,4.751
153,0.0,4.777
154,0.0,4.803
155,8.03,4.829
156,6.99,4.854
157,0.0,4.878
158,1.8,4.902
159,9.05,4.925
160,0.0,4.947
161,4.32,4.969
162,0.0,4.99
163,0.0,5.01
164,6.19,5.03
165,0.0,5.049
166,8.62,5.068
167,2.7,5.085
168,0.0,5.102
169,0.0,5.119
170,0.0,5.135
171,0.0,5.15
172,0.0,5.164
173,0.0,5.178
174,9.06,5.191
175,4.45,5.203
176,0.0,5.214
177,0.0,5.225
178,0.0,5.235
179,0.0,5.245
