doy,P_mm,PET_mm
1,0.0,0.423
2,0.0,0.418
3,0.0,0.413
4,0.0,0.409
5,0.0,0.405
6,0.0,0.403
7,0.0,0.401
8,0.0,0.4
9,0.0,0.4
10,0.0,0.401
11,0.0,0.402
12,0.0,0.404
13,0.0,0.407
14,0.0,0.411
15,0.0,0.415
16,0.0,0.42
17,0.0,0.426
18,0.0,0.433
19,0.0,0.44
20,0.0,0.449
21,0.0,0.458
22,0.0,0.467
23,0.0,0.478
24,0.0,0.489
25,0.0,0.501
26,0.0,0.514
27,0.0,0.527
28,0.0,0.541
29,0.0,0.556
30,0.0,0.572
31,0.0,0.588
32,0.0,0.605
33,0.0,0.623
34,0.0,0.642
35,0.0,0.661
36,0.0,0.681
37,0.0,0.701
38,0.0,0.723
39,0.0,0.745
40,0.0,0.767
41,0.0,0.79
42,0.0,0.814
43,0.0,0.839
44,0.0,0.864
45,0.0,0.89
46,0.0,0.916
47,0.0,0.944
48,0.0,0.971
49,0.0,1.0
50,0.0,1.028
51,0.0,1.058
52,0.0,1.088
53,0.0,1.119
54,0.0,1.15
55,0.0,1.181
56,0.0,1.214
57,0.0,1.246
58,0.0,1.28
59,0.0,1.314
60,0.0,1.348
61,0.0,1.383
62,0.0,1.418
63,0.0,1.454
64,0.0,1.49
65,0.0,1.527
66,0.0,1.564
67,0.0,1.601
68,0.0,1.639
69,0.0,1.677
70,0.0,1.716
71,0.0,1.755
72,0.0,1.795
73,0.0,1.835
74,0.0,1.875
75,0.0,1.915
76,0.0,1.956
77,0.0,1.997
78,0.0,2.039
79,0.0,2.08
80,0.0,2.122
81,0.0,2.165
82,0.0,2.207
83,0.0,2.25
84,0.0,2.293
85,0.0,2.336
86,0.0,2.379
87,0.0,2.423
88,0.0,2.467
89,0.0,2.511
90,0.0,2.555
91,0.0,2.599
92,0.0,2.643
93,0.0,2.687
94,0.0,2.732
95,0.0,2.776
96,0.0,2.821
97,0.0,2.866
98,0.0,2.911
99,0.0,2.955
100,0.0,3.0
101,0.0,3.045
102,0.0,3.089
103,0.0,3.134
104,9.97,3.179
105,7.48,3.224
106,0.0,3.268
107,0.0,3.313
108,6.81,3.357
109,0.0,3.401
110,0.0,3.445
111,7.82,3.489
112,0.0,3.533
113,0.0,3.577
114,0.0,3.621
115,0.0,3.664
116,0.0,3.707
117,0.0,3.75
118,0.0,3.793
119,0.0,3.835
120,0.0,3.878
121,0.0,3.92
122,0.0,3.961
123,0.0,4.003
124,0.0,4.044
125,0.0,4.085
126,0.0,4.125
127,0.0,4.165
128,0.0,4.205
129,0.0,4.245
130,0.0,4.284
131,0.0,4.323
132,0.0,4.361
133,0.0,4.399
134,0.0,4.436
135,0.0,4.473
136,0.0,4.51
137,0.0,4.546
138,2.77,4.582
139,0.0,4.617
140,8.65,4.652
141,8.85,4.686
142,0.0,4.72
143,2.25,4.754
144,0.0,4.786
145,9.66,4.819
146,0.0,4.85
147,0.0,4.881
148,0.0,4.912
149,0.0,4.942
150,7.85,4.972
151,1.99,5.0
152,0.0,5.029
153,5.35,5.056
154,0.0,5.084
155,0.0,5.11
156,0.0,5.136
157,9.09,5.161
158,0.0,5.186
159,0.0,5.21
160,0.0,5.233
161,4.67,5.255
162,0.0,5.277
163,0.0,5.299
164,0.0,5.319
165,0.0,5.339
166,1.67,5.358
167,0.0,5.377
168,0.0,5.395
169,0.0,5.412
170,15.7,5.428
171,0.0,5.444
172,1.93,5.459
173,2.22,5.473
174,0.0,5.486
175,0.0,5.499
176,0.0,5.511
177,0.0,5.522
178,0.0,5.533
179,0.0,5.542
180,0.0,5.551
181,0.0,5.56
182,0.0,5.567
183,9.87,5.574
184,0.0,5.58
185,0.0,5.585
186,0.0,5.589
187,28.09,5.593
188,8.38,5.596
189,0.0,5.598
190,11.29,5.599
191,0.0,5.6
192,0.0,5.6
193,5.07,5.599
194,0.0,5.597
195,0.0,5.595
196,3.0,5.591
197,0.0,5.587
198,0.0,5.582
199,9.17,5.577
200,0.0,5.571
201,0.0,5.563
202,0.0,5.556
203,0.0,5.547
204,0.0,5.538
205,8.88,5.528
206,5.46,5.517
207,0.0,5.505
208,1.39,5.493
209,7.35,5.48
210,10.67,5.466
211,1.34,5.451
212,6.58,5.436
213,2.05,5.42
214,0.0,5.403
215,0.0,5.386
216,0.0,5.368
217,0.0,5.349
218,0.0,5.329
219,0.0,5.309
220,1.05,5.288
221,14.86,5.266
222,0.0,5.244
223,0.0,5.221
224,0.0,5.198
225,3.76,5.173
226,0.0,5.149
227,0.0,5.123
228,0.0,5.097
229,0.0,5.07
230,0.0,5.043
231,9.29,5.015
232,0.0,4.986
233,0.0,4.957
234,0.0,4.927
235,0.0,4.897
236,4.91,4.866
237,0.0,4.835
238,0.0,4.803
239,0.0,4.77
240,0.0,4.737
241,0.0,4.703
242,0.0,4.669
243,0.0,4.635
244,0.0,4.6
245,0.0,4.564
246,0.0,4.528
247,0.0,4.492
248,0.0,4.455
249,0.0,4.418
250,0.0,4.38
251,0.0,4.342
252,0.0,4.303
253,9.56,4.264
254,0.0,4.225
255,0.0,4.185
256,0.0,4.145
257,0.0,4.105
258,0.0,4.064
259,0.0,4.023
260,9.9,3.982
261,0.0,3.94
262,7.0,3.899
263,0.0,3.856
264,0.0,3.814
265,0.0,3.771
266,0.0,3.729
267,0.0,3.686
268,0.0,3.642
269,0.0,3.599
270,0.0,3.555
271,0.0,3.511
272,0.0,3.467
273,0.0,3.423
274,0.0,3.379
275,9.6,3.335
276,0.0,3.29
277,4.93,3.246
278,0.0,3.201
279,0.0,3.157
280,0.0,3.112
281,0.0,3.067
282,0.0,3.022
283,0.0,2.978
284,0.0,2.933
285,0.0,2.888
286,0.0,2.843
287,0.0,2.799
