doy,P_mm,PET_mm
1,0.0,0.227
2,0.0,0.22
3,0.0,0.215
4,0.0,0.21
5,0.0,0.206
6,0.0,0.203
7,0.0,0.201
8,0.0,0.2
9,0.0,0.2
10,0.0,0.201
11,0.0,0.202
12,0.0,0.205
13,0.0,0.208
14,0.0,0.212
15,0.0,0.217
16,0.0,0.223
17,0.0,0.23
18,0.0,0.238
19,0.0,0.247
20,0.0,0.256
21,0.0,0.266
22,0.0,0.278
23,0.0,0.29
24,0.0,0.303
25,0.0,0.317
26,0.0,0.331
27,0.0,0.347
28,0.0,0.363
29,0.0,0.38
30,0.0,0.398
31,0.0,0.417
32,0.0,0.437
33,0.0,0.458
34,0.0,0.479
35,0.0,0.501
36,0.0,0.524
37,0.0,0.548
38,0.0,0.572
39,0.0,0.598
40,0.0,0.624
41,0.0,0.651
42,0.0,0.678
43,0.0,0.706
44,0.0,0.736
45,0.0,0.765
46,0.0,0.796
47,0.0,0.827
48,0.0,0.859
49,0.0,0.892
50,0.0,0.925
51,0.0,0.959
52,0.0,0.994
53,0.0,1.029
54,0.0,1.065
55,0.0,1.102
56,0.0,1.139
57,0.0,1.177
58,0.0,1.215
59,0.0,1.254
60,0.0,1.294
61,0.0,1.334
62,0.0,1.375
63,0.0,1.416
64,0.0,1.458
65,0.0,1.5
66,0.0,1.543
67,0.0,1.586
68,0.0,1.63
69,0.0,1.674
70,0.0,1.719
71,0.0,1.764
72,0.0,1.809
73,0.0,1.855
74,0.0,1.902
75,0.0,1.948
76,0.0,1.996
77,0.0,2.043
78,0.0,2.091
79,0.0,2.139
80,0.0,2.187
81,0.0,2.236
82,0.0,2.285
83,0.0,2.335
84,0.0,2.384
85,0.0,2.434
86,0.0,2.484
87,0.0,2.534
88,0.0,2.585
89,0.0,2.635
90,0.0,2.686
91,0.0,2.737
92,0.0,2.788
93,0.0,2.839
94,0.0,2.891
95,0.0,2.942
96,0.0,2.994
97,0.0,3.045
98,0.0,3.097
99,0.0,3.148
100,0.0,3.2
101,9.28,3.252
102,0.0,3.303
103,0.0,3.355
104,0.0,3.406
105,0.0,3.458
106,0.0,3.509
107,0.0,3.561
108,0.0,3.612
109,0.0,3.663
110,0.0,3.714
111,0.0,3.765
112,0.0,3.815
113,0.0,3.866
114,0.0,3.916
115,0.0,3.966
116,0.0,4.016
117,0.0,4.065
118,0.0,4.115
119,0.0,4.164
120,0.0,4.213
121,0.0,4.261
122,0.0,4.309
123,6.78,4.357
124,0.0,4.404
125,0.0,4.452
126,0.0,4.498
127,0.0,4.545
128,0.0,4.591
129,0.0,4.636
130,0.0,4.681
131,0.0,4.726
132,0.0,4.77
133,0.0,4.814
134,0.0,4.857
135,0.0,4.9
136,0.0,4.942
137,0.0,4.984
138,0.0,5.025
139,1.32,5.066
140,0.0,5.106
141,0.0,5.146
142,0.0,5.185
143,0.0,5.223
144,0.0,5.261
145,0.0,5.298
146,0.0,5.335
147,0.0,5.371
148,0.0,5.406
149,0.0,5.441
150,0.0,5.475
151,0.0,5.508
152,0.0,5.541
153,5.98,5.573
154,0.0,5.604
155,0.0,5.635
156,0.0,5.664
157,0.0,5.694
158,1.06,5.722
159,5.56,5.749
160,0.0,5.776
161,0.0,5.802
162,0.0,5.828
163,1.77,5.852
164,7.93,5.876
165,0.0,5.899
166,0.0,5.921
167,0.0,5.942
168,0.0,5.963
169,6.09,5.983
170,7.41,6.002
171,0.0,6.02
172,1.56,6.037
173,9.68,6.053
174,0.0,6.069
175,0.0,6.083
176,0.0,6.097
177,0.0,6.11
178,0.0,6.122
179,0.0,6.134
180,0.0,6.144
181,0.0,6.153
182,2.75,6.162
183,5.18,6.17
184,0.0,6.177
185,1.41,6.183
186,0.0,6.188
187,0.0,6.192
188,0.0,6.195
189,0.0,6.198
190,0.0,6.199
191,0.0,6.2
192,7.14,6.2
193,0.0,6.199
194,0.0,6.197
195,0.0,6.194
196,0.0,6.19
197,0.0,6.185
198,0.0,6.18
199,0.0,6.173
200,9.56,6.166
201,0.0,6.158
202,8.54,6.149
203,0.0,6.139
204,2.47,6.128
205,0.0,6.116
206,0.0,6.104
207,0.0,6.09
208,6.93,6.076
209,1.4,6.061
210,0.0,6.045
211,0.0,6.028
212,0.0,6.011
213,3.4,5.992
214,0.0,5.973
215,0.0,5.953
216,0.0,5.932
217,0.0,5.91
218,0.0,5.888
219,5.41,5.864
220,15.31,5.84
221,0.0,5.815
222,0.0,5.789
223,0.0,5.763
224,0.0,5.736
225,0.0,5.708
226,0.0,5.679
227,0.0,5.65
228,0.0,5.619
229,0.0,5.589
230,0.0,5.557
231,0.0,5.525
232,0.0,5.492
233,0.0,5.458
234,0.0,5.424
235,0.0,5.389
236,0.0,5.353
237,0.0,5.317
238,0.0,5.28
239,10.13,5.242
240,9.49,5.204
241,0.0,5.165
242,0.0,5.126
243,0.0,5.086
244,0.0,5.046
245,0.0,5.005
246,0.0,4.963
247,0.0,4.921
248,1.41,4.879
249,0.0,4.836
250,0.0,4.792
251,0.0,4.748
252,0.0,4.704
253,0.0,4.659
254,0.0,4.613
255,6.13,4.568
256,4.06,4.522
257,0.0,4.475
258,0.0,4.428
259,0.0,4.381
260,0.0,4.333
261,6.06,4.285
262,0.0,4.237
263,0.0,4.188
264,0.0,4.139
265,0.0,4.09
266,0.0,4.041
267,0.0,3.991
268,3.89,3.941
269,0.0,3.891
270,0.0,3.841
271,0.0,3.79
272,0.0,3.739
273,0.0,3.688
274,0.0,3.637
275,0.0,3.586
276,0.0,3.535
277,0.0,3.484
278,0.0,3.432
279,0.0,3.381
280,0.0,3.329
281,0.0,3.277
282,0.0,3.226
283,0.0,3.174
284,0.0,3.123
285,3.53,3.071
286,0.0,3.019
287,0.0,2.968
288,0.0,2.916
289,1.36,2.865
290,0.0,2.814
291,0.0,2.763
292,0.0,2.712
293,0.0,2.661
294,0.0,2.61
295,0.0,2.559
296,0.0,2.509
297,0.0,2.459
298,0.0,2.409
299,0.0,2.359
300,0.0,2.31
301,0.0,2.261
302,0.0,2.212
303,0.0,2.163
304,0.0,2.115
305,0.0,2.067
306,0.0,2.019
307,0.0,1.972
308,0.0,1.925
309,0.0,1.878
310,0.0,1.832
311,0.0,1.787
312,0.0,1.741
313,0.0,1.696
314,0.0,1.652
315,0.0,1.608
316,0.0,1.564
317,0.0,1.521
318,0.0,1.479
319,0.0,1.437
320,0.0,1.395
321,0.0,1.354
322,0.0,1.314
323,0.0,1.274
324,0.0,1.235
325,0.0,1.196
326,0.0,1.158
327,0.0,1.12
328,0.0,1.083
329,0.0,1.047
330,0.0,1.011
331,0.0,0.976
332,0.0,0.942
333,0.0,0.908
334,0.0,0.875
335,0.0,0.843
336,0.0,0.811
337,0.0,0.781
338,0.0,0.75
339,0.0,0.721
340,0.0,0.692
341,0.0,0.664
342,0.0,0.637
343,0.0,0.611
344,0.0,0.585
345,0.0,0.56
346,0.0,0.536
347,0.0,0.512
348,0.0,0.49
349,0.0,0.468
350,0.0,0.447
351,0.0,0.427
352,0.0,0.408
353,0.0,0.389
354,0.0,0.372
355,0.0,0.355
356,0.0,0.339
357,0.0,0.324
358,0.0,0.31
359,0.0,0.296
360,0.0,0.284
361,0.0,0.272
362,0.0,0.261
363,0.0,0.251
364,0.0,0.242
365,0.0,0.234
